Bear,Deer,Fish,Racoon,Goose,Turkey,Opossum,Rabbit,Duck,Squirrel
37352,12096,17673,9408,6762,7765,6540,2942,1230,672
61434,19895,21216,13569,12522,11200,12111,5248,2278,1244
,,62792,,,,,2042,,
,,16982,,,,,3781,,
,,42252,,,,,,,
,,7540,,,,,,,
,,18760,,,,,,,
,,5655,,,,,,,
,,14070,,,,,,,
,,19823,,,,,,,
,,25265,,,,,,,
,,13486,,,,,,,
,,17188,,,,,,,
,,9623,,,,,,,
,,12265,,,,,,,
,,3206,,,,,,,
,,4086,,,,,,,
,,6714,,,,,,,
,,9894,,,,,,,
,,4567,,,,,,,
,,6731,,,,,,,
,,1086,,,,,,,
,,1600,,,,,,,
